Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
11/28/18,"3,088","7,602",3.59,16,717,272,0,0,"1,361"
11/29/18,"3,693","12,380",6.56,18,717,258,15,53,"2,051"
11/30/18,"3,269","9,559",4.51,14,699,288,12,6,"1,577"
12/1/18,"3,813","14,510",7.27,7,527,233,22,67,"2,124"
12/2/18,"3,957","13,257",6.23,195,725,265,13,70,"2,305"
12/3/18,"3,660","12,915",6.12,6,782,219,40,51,"1,993"
12/4/18,"3,384","13,763",6.49,13,608,199,11,67,"1,663"
12/5/18,"3,670","13,865",6.52,12,739,200,12,69,"1,968"
12/6/18,"3,669","14,774",6.96,9,647,198,4,78,"1,962"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
