Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
6/27/18,"2,145",0,0,0,"1,440",0,0,0,0
6/28/18,"2,145",0,0,0,"1,440",0,0,0,0
6/29/18,"2,180",0,0,0,"1,437",3,0,0,39
6/30/18,"2,145",0,0,0,"1,440",0,0,0,0
7/1/18,"3,090","4,714",2.22,4,"1,005",232,0,0,"1,125"
7/2/18,"2,204",172,0.08,0,"1,024",12,0,0,67
7/3/18,"2,144",0,0,0,"1,440",0,0,0,0
7/4/18,"2,183",0,0,0,"1,438",2,0,0,42
7/5/18,"2,153",0,0,0,"1,439",1,0,0,10
7/6/18,"2,144",0,0,0,"1,440",0,0,0,0
7/7/18,"3,275","6,775",3.2,4,"1,050",133,52,14,"1,289"
7/8/18,"3,149","5,221",2.46,5,821,215,11,3,"1,196"
7/9/18,"3,476","6,694",3.16,6,673,240,9,11,"1,457"
7/10/18,"3,562","7,253",3.42,5,790,228,4,21,"1,530"
7/11/18,"3,553","6,997",3.3,7,701,214,21,14,"1,495"
7/12/18,"3,750","7,520",3.55,1,576,294,0,0,"1,787"
7/13/18,"3,641","7,432",3.51,1,798,206,32,27,"1,627"
7/14/18,"3,622","11,239",5.3,10,709,203,39,35,"1,770"
7/15/18,"3,315","6,077",2.87,10,654,169,29,20,"1,354"
7/16/18,"4,037","10,551",4.98,4,714,204,51,47,"2,084"
7/17/18,"3,760","8,377",3.95,12,646,258,8,25,"1,803"
7/18/18,"3,509","7,504",3.54,4,754,222,20,3,"1,502"
7/19/18,"3,993","9,484",4.47,4,"1,116",243,57,24,"2,093"
7/20/18,"3,110","6,680",3.15,3,"1,262",136,28,14,"1,172"
7/21/18,"3,983","12,279",5.79,10,569,184,37,83,"2,162"
7/22/18,"3,883","13,418",6.33,19,839,210,16,69,"2,015"
7/23/18,"3,553","9,203",4.34,5,748,204,23,31,"1,597"
7/24/18,"3,510","9,215",4.35,6,"1,203",193,15,29,"1,551"
7/25/18,"3,069","5,666",2.67,8,"1,253",176,4,7,"1,062"
7/26/18,"3,864","12,467",5.88,10,704,214,11,58,"1,962"
7/27/18,"4,618","16,306",7.73,18,634,244,29,111,"2,832"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
